id,publication_date,summary
2020-W02,2020-01-12,"This is the first issue of the Seachess bulletin, where I share the things that caught my attention this week."
2020-W03,2020-01-19,"This week has been about Git, Compiler explorer, Sqlite across Docker, a markdown editor and a tool to build themes for your editor."
2020-W04,2020-01-25,"This week has been trade-offs, a fancy dictionary, a typography, and some Rust."
2020-W05,2020-02-02,"This week has been about Rust, a knowledge database, OLAP cubes, security issues with CSS and techniques for fuzzy matching."
2020-W06,2020-02-09,"This week has been about Rust, a game like tetris, statistics of your codebase and WebAssembly."
2020-W07,2020-02-16,"This week has been about software evolution, nix, Docker and some recommendations for keeping a changelog."
2020-W08,2020-02-23,"This week has been about floating point numbers, testing in production, privacy, security and personal workflows."
2020-W09,2020-03-01,"This week has been about yaml issues, a runtime in Rust, plugin-based systems, prolog, WebAssemby and web components."
2020-W10,2020-03-08,"This week has been about Rust, the sad story of time, Git flows, the Brave scam, computational notebooks and how to organise your system."
2020-W11,2020-03-15,"This week has been about the history of the URL, SQL, hiring practices, managing Python dependencies and Nix."
2020-W12,2020-03-22,"This week has been about graphical command line interfaces, agile practices, a tool to manage colours, Github practices and remote work."
2020-W13,2020-03-29,"This week has been about Rust, manipulating JSON, Security issues with Zoom, Pandas and SQLite and databases worth looking into."
2020-W14,2020-04-05,"This week has been about cross platform GUIs, Git flows, software architecture, postgresql and search engines."
2020-W15,2020-04-12,"This week has been about PostGIS, Rust error handling, Git flows, Elm issues, Google Analytics and illustrations."
2020-W16,2020-04-19,"This week has been about endianness, Git, agile practices, observability and illustrations."
2020-W17,2020-04-26,"This week has been about architecture strategy, mindmap tools, Rust and WebAssembly."
2020-W18,2020-05-03,"This week has been about degeneracy, a syntax highlighter for diffs, Rust and AWS Lambdas, driving change and a catalogue of public APIs."
2020-W19,2020-05-10,"This week has been about product iterations, a programming language, convolutional neural networks, time sadness and a particular font."
2020-W20,2020-05-17,"This week has been about time-series compression algorithms, Git over gRPC, Python and Rust and securing Firefox."
2020-W21,2020-05-24,"This week has been about database schemas, WebAssembly, error handling in Rust, database versioning and floating point errors."
2020-W22,2020-05-31,"This week has been about user experience in the terminal, JSON management, an alternative to Electron and reified UIs."
2020-W23,2020-06-07,"This week has been about perceptual hash algorithms, a mathematical notation, Zsh, maze algorithms and the SQLite anniversary."
2020-W24,2020-06-14,"This week has been about Jupyter for SQLite, tacit knowledge, Git, UTF-8 and flat UIs."
2020-W25,2020-06-21,"This week has been about AI, BPMN, a sed alternative, bullshit as a social practice and smart pointers in Rust."
2020-W26,2020-06-28,"This week has been about Rust and CSV, JWT mistakes, Graph and tree traversals, Nix and Python, a language made for WebAssembly and parallelism in SQLite."
2020-W27,2020-07-05,"This week has been about JIT compilers, domain models, a pixel editor, pagination in SQL and ARM vs x86."
2020-W28,2020-07-12,"This week has been about CSS layouts, user tracking, linear thinking and a programming language for educational purposes."
2020-W29,2020-07-19,"This week has been about predictive database queries, sqlite for Git, eventual consistency, datalog and property testing."
2020-W30,2020-07-26,"This week has been about statistics in China, proquints, property-based testing, speeding multiplications and syntax highlighting for your editor."
2020-W31,2020-08-02,"This week has been about JQ, alacritty, interactive system diagrams and query systems in Rust."
2020-W32,2020-08-09,"This week has been about nix, data validation, CRDTs, the pre-mortem technique, NLP beyond English and responsive compilers."
2020-W33,2020-08-16,"This week has been about a Git reimplementation, Git for data, the struggles of Mozilla, a dictionary, geospatial information in SQLite and futures with slime."
2020-W34,2020-08-23,"This week I got back into the Nu shell, kept digging into CRDTs, got closure with Mozilla's XUL story and considered the perils of AR for our personal privacy."
2020-W35,2020-08-30,"This week some news in the WebAssembly space, a bit of software architecture, digging out the metacrap, productive porn and abusing gzip for fun."
2020-W36,2020-09-06,"This week you'll find a study on web privacy, data analysis techniques in Python, a particular spreadsheet and a taste of the future of WebAssembly."
2020-W37,2020-09-13,"This week has been a mix of distributed systems, a database catalogue, graph visualisations, a game of bots, filesystems and WebAssembly systems."
2020-W38,2020-09-20,"This week has been about interactive articles, data governance, diagrams, roadmaps, predictions and PGP."
2020-W39,2020-09-27,"This week has been about anonymisation, state space models, sequence diagrams, cookie trackers and some bits on parsers."
2020-W40,2020-10-04,"This week has been about testing data pipelines, compression algorithms, notebooks, QR codes and tabular data."
2020-W41,2020-10-11,"This week has been about melody generators, visualisation primitives, Rust and Electron, ASTs and CRDTs.

I also published [Dive into CSV on the Web](https://www.seachess.net/notes/dive-into-csvw) as part of my research on how to publish CSV with enough contextual information."
2020-W42,2020-10-18,"This week has been about teaching how to program, tutorials for researchers, flow diagrams, spreadsheet horrorshow and some python with nix."
2020-W43,2020-10-25,"This week has been about the origins of Markdown, WAGI, Firefox and privacy, Kitty, Visidata and LDflex."
2020-W44,2020-11-01,"This week has been about Fourier transforms, binary file patterns, TerminusDB,
and the history of PDF."
2020-W45,2020-11-08,"This week has been about refactoring, ePub, images in the terminal, git and SVG."
2020-W46,2020-11-15,"This week has been about a traffic simulator, obsolete media, 3D human shapes and ownership semantics."
